SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
675683087.5,00099M00:03:55.157,0099 00:00:24,4.25,,,,291.89,,5.85,,,,281.89,,1,1,1
675683088,00099M00:03:55.643,0099 00:00:24,3.78,,,,291.89,,5.55,,,,281.89,,1,1,1
675683088.5,00099M00:03:56.130,0099 00:00:25,3.37,,,,291.89,,5.70,,,,281.89,,1,1,1
675683089,00099M00:03:56.617,0099 00:00:25,3.27,,,,286.89,,3.52,,,,276.89,,1,1,1
675683089.5,00099M00:03:57.103,0099 00:00:26,2.79,,,,276.89,,4.50,,,,261.89,,1,1,1
675683090,00099M00:03:57.590,0099 00:00:26,3.10,,,,271.89,,4.19,,,,261.89,,1,1,1
675683090.5,00099M00:03:58.076,0099 00:00:27,3.31,,,,271.89,,4.49,,,,261.89,,1,1,1
675683091,00099M00:03:58.563,0099 00:00:27,3.83,,,,271.89,,4.71,,,,261.89,,1,1,1
675683091.5,00099M00:03:59.050,0099 00:00:28,3.47,,,,276.89,,4.76,,,,261.89,,1,1,1
675683092,00099M00:03:59.536,0099 00:00:28,3.47,,,,281.89,,3.52,,,,276.89,,1,1,1
675683092.5,00099M00:04:00.023,0099 00:00:29,3.31,,,,281.89,,3.57,,,,281.89,,1,1,1
675683093,00099M00:04:00.510,0099 00:00:29,3.36,,,,271.89,,4.40,,,,261.89,,1,1,1
675683093.5,00099M00:04:00.996,0099 00:00:30,3.63,,,,271.89,,4.71,,,,261.89,,1,1,1
675683094,00099M00:04:01.483,0099 00:00:30,3.89,,,,276.89,,3.84,,,,261.89,,1,1,1
675683094.5,00099M00:04:01.969,0099 00:00:31,4.20,,,,281.89,,5.29,,,,266.89,,1,1,1
675683095,00099M00:04:02.456,0099 00:00:31,3.74,,,,276.89,,4.78,,,,261.89,,1,1,1
675683095.5,00099M00:04:02.943,0099 00:00:32,3.33,,,,276.89,,4.73,,,,261.89,,1,1,1
675683096,00099M00:04:03.429,0099 00:00:32,3.43,,,,281.89,,4.72,,,,261.89,,1,1,1
675683096.5,00099M00:04:03.916,0099 00:00:33,3.32,,,,281.89,,5.09,,,,266.89,,1,1,1
675683097,00099M00:04:04.403,0099 00:00:33,3.16,,,,276.89,,4.61,,,,261.89,,1,1,1
675683097.5,00099M00:04:04.889,0099 00:00:34,3.47,,,,281.89,,3.52,,,,271.89,,1,1,1
675683098,00099M00:04:05.376,0099 00:00:34,3.32,,,,271.89,,4.51,,,,261.89,,1,1,1
675683098.5,00099M00:04:05.862,0099 00:00:35,3.32,,,,281.89,,4.77,,,,261.89,,1,1,1
675683099,00099M00:04:06.349,0099 00:00:35,3.85,,,,281.89,,5.72,,,,271.89,,1,1,1
675683099.5,00099M00:04:06.836,0099 00:00:36,4.48,,,,281.89,,5.42,,,,266.89,,1,1,1
675683100,00099M00:04:07.322,0099 00:00:36,4.23,,,,291.89,,5.54,,,,281.89,,1,1,1
675683100.5,00099M00:04:07.809,0099 00:00:37,4.07,,,,291.89,,6.16,,,,281.89,,1,1,1
675683101,00099M00:04:08.296,0099 00:00:37,3.39,,,,286.89,,5.68,,,,281.89,,1,1,1
675683101.5,00099M00:04:08.782,0099 00:00:38,3.49,,,,286.89,,5.93,,,,281.89,,1,1,1
675683102,00099M00:04:09.269,0099 00:00:38,3.43,,,,281.89,,5.50,,,,281.89,,1,1,1
675683102.5,00099M00:04:09.755,0099 00:00:39,4.05,,,,281.89,,5.50,,,,281.89,,1,1,1
675683103,00099M00:04:10.242,0099 00:00:39,3.43,,,,281.89,,5.61,,,,271.89,,1,1,1
675683103.5,00099M00:04:10.729,0099 00:00:40,4.36,,,,281.89,,6.03,,,,271.89,,1,1,1
675683104,00099M00:04:11.215,0099 00:00:40,4.58,,,,286.89,,6.11,,,,271.89,,1,1,1
675683104.5,00099M00:04:11.702,0099 00:00:41,4.37,,,,286.89,,5.93,,,,271.89,,1,1,1
675683105,00099M00:04:12.189,0099 00:00:41,4.01,,,,276.89,,5.83,,,,271.89,,1,1,1
675683105.5,00099M00:04:12.675,0099 00:00:42,3.38,,,,276.89,,5.67,,,,271.89,,1,1,1
675683106,00099M00:04:13.162,0099 00:00:42,3.74,,,,281.89,,5.46,,,,281.89,,1,1,1
675683106.5,00099M00:04:13.648,0099 00:00:42,3.58,,,,276.89,,4.51,,,,261.89,,1,1,1
675683107,00099M00:04:14.135,0099 00:00:43,3.54,,,,281.89,,3.54,,,,276.89,,1,1,1
675683107.5,00099M00:04:14.622,0099 00:00:43,3.38,,,,276.89,,3.52,,,,276.89,,1,1,1
675683108,00099M00:04:15.108,0099 00:00:44,3.74,,,,281.89,,5.77,,,,271.89,,1,1,1
675683108.5,00099M00:04:15.595,0099 00:00:44,4.32,,,,291.89,,5.46,,,,281.89,,1,1,1
675683109,00099M00:04:16.082,0099 00:00:45,4.06,,,,296.89,,5.57,,,,281.89,,1,1,1
675683109.5,00099M00:04:16.568,0099 00:00:45,3.96,,,,286.89,,5.79,,,,281.89,,1,1,1
675683110,00099M00:04:17.055,0099 00:00:46,4.22,,,,281.89,,5.94,,,,276.89,,1,1,1
675683110.5,00099M00:04:17.542,0099 00:00:46,4.53,,,,281.89,,6.10,,,,281.89,,1,1,1
675683111,00099M00:04:18.028,0099 00:00:47,4.23,,,,291.89,,5.75,,,,281.89,,1,1,1
675683111.5,00099M00:04:18.515,0099 00:00:47,3.87,,,,296.89,,5.59,,,,281.89,,1,1,1
675683112,00099M00:04:19.001,0099 00:00:48,4.54,,,,296.89,,6.05,,,,286.89,,1,1,1
675683112.5,00099M00:04:19.488,0099 00:00:48,4.50,,,,296.89,,5.96,,,,286.89,,1,1,1
675683113,00099M00:04:19.975,0099 00:00:49,4.18,,,,291.89,,6.17,,,,276.89,,1,1,1
675683113.5,00099M00:04:20.461,0099 00:00:49,4.12,,,,291.89,,5.90,,,,281.89,,1,1,1
675683114,00099M00:04:20.948,0099 00:00:50,4.18,,,,291.89,,5.75,,,,286.89,,1,1,1
675683114.5,00099M00:04:21.435,0099 00:00:50,3.66,,,,291.89,,6.11,,,,281.89,,1,1,1
675683115,00099M00:04:21.921,0099 00:00:51,3.45,,,,281.89,,5.53,,,,281.89,,1,1,1
675683115.5,00099M00:04:22.408,0099 00:00:51,3.60,,,,291.89,,4.28,,,,286.89,,1,1,1
675683116,00099M00:04:22.894,0099 00:00:52,3.85,,,,291.89,,5.73,,,,281.89,,1,1,1
675683116.5,00099M00:04:23.381,0099 00:00:52,4.58,,,,291.89,,5.57,,,,286.89,,1,1,1
675683117,00099M00:04:23.868,0099 00:00:53,4.91,,,,296.89,,6.11,,,,286.89,,1,1,1
675683117.5,00099M00:04:24.354,0099 00:00:53,4.83,,,,296.89,,6.08,,,,286.89,,1,1,1
675683118,00099M00:04:24.841,0099 00:00:54,4.72,,,,296.89,,6.14,,,,286.89,,1,1,1
675683118.5,00099M00:04:25.328,0099 00:00:54,4.25,,,,296.89,,6.45,,,,281.89,,1,1,1
675683119,00099M00:04:25.814,0099 00:00:55,3.82,,,,291.89,,6.33,,,,281.89,,1,1,1
675683119.5,00099M00:04:26.301,0099 00:00:55,3.54,,,,291.89,,4.22,,,,286.89,,1,1,1
675683120,00099M00:04:26.787,0099 00:00:56,3.33,,,,291.89,,5.77,,,,281.89,,1,1,1
675683120.5,00099M00:04:27.274,0099 00:00:56,3.28,,,,286.89,,5.46,,,,281.89,,1,1,1
