SCLK,LMST,LTST,SOLAR_LONGITUDE_ANGLE,SOLAR_ZENITHAL_ANGLE,ROVER_POSITION_X,ROVER_POSITION_Y,ROVER_POSITION_Z,ROVER_VELOCITY,ROVER_PITCH,ROVER_YAW,ROVER_ROLL,MASTHEAD_AZIMUTH,MASTHEAD_ELEVATION
668366363,00016M14:00:18.625,0016 13:27:54,118.29,25.02,34.91,-19.82,-0.27,128.63,1.69,71.48,0.75,,
668366363.5,00016M14:00:19.112,0016 13:27:55,118.28,25.02,34.92,-19.83,-0.27,128.63,1.68,71.48,0.75,,
668366364,00016M14:00:19.598,0016 13:27:55,118.28,25.02,34.92,-19.85,-0.27,128.63,1.66,71.48,0.75,,
668366364.5,00016M14:00:20.085,0016 13:27:56,118.28,25.02,34.93,-19.87,-0.27,128.63,1.65,71.49,0.76,,
668366365,00016M14:00:20.572,0016 13:27:56,118.27,25.02,34.93,-19.88,-0.27,128.63,1.63,71.49,0.76,,
668366365.5,00016M14:00:21.058,0016 13:27:57,118.27,25.03,34.94,-19.90,-0.27,128.63,1.61,71.49,0.76,,
668366366,00016M14:00:21.545,0016 13:27:57,118.27,25.03,34.95,-19.92,-0.27,128.63,1.60,71.49,0.76,,
668366366.5,00016M14:00:22.032,0016 13:27:58,118.27,25.03,34.95,-19.93,-0.27,128.63,1.58,71.50,0.76,,
668366367,00016M14:00:22.518,0016 13:27:58,118.26,25.03,34.96,-19.95,-0.27,128.63,1.57,71.50,0.77,,
668366367.5,00016M14:00:23.005,0016 13:27:59,118.26,25.03,34.96,-19.97,-0.27,128.63,1.55,71.50,0.77,,
668366368,00016M14:00:23.491,0016 13:27:59,118.26,25.03,34.97,-19.99,-0.27,128.63,1.54,71.50,0.77,,
668366368.5,00016M14:00:23.978,0016 13:28:00,118.26,25.04,34.97,-20.00,-0.27,128.63,1.52,71.51,0.77,,
668366369,00016M14:00:24.465,0016 13:28:00,118.25,25.04,34.98,-20.02,-0.27,128.63,1.51,71.51,0.77,,
668366369.5,00016M14:00:24.951,0016 13:28:01,118.25,25.04,34.99,-20.04,-0.27,128.63,1.49,71.51,0.78,,
668366370,00016M14:00:25.438,0016 13:28:01,118.25,25.04,34.99,-20.05,-0.27,128.63,1.47,71.52,0.78,,
668366370.5,00016M14:00:25.925,0016 13:28:02,118.25,25.04,35.00,-20.07,-0.27,128.63,1.46,71.52,0.78,,
668366371,00016M14:00:26.411,0016 13:28:02,118.24,25.04,35.00,-20.09,-0.27,128.63,1.44,71.52,0.78,,
668366371.5,00016M14:00:26.898,0016 13:28:03,118.24,25.05,35.01,-20.10,-0.27,128.63,1.43,71.52,0.78,,
668366372,00016M14:00:27.385,0016 13:28:03,118.24,25.05,35.01,-20.12,-0.26,128.63,1.41,71.53,0.79,,
668366372.5,00016M14:00:27.871,0016 13:28:04,118.24,25.05,35.02,-20.14,-0.26,128.63,1.40,71.53,0.79,,
668366373,00016M14:00:28.358,0016 13:28:04,118.23,25.05,35.02,-20.16,-0.26,128.63,1.38,71.53,0.79,,
668366373.5,00016M14:00:28.844,0016 13:28:05,118.23,25.05,35.03,-20.17,-0.26,128.63,1.37,71.54,0.79,,
668366374,00016M14:00:29.331,0016 13:28:05,118.23,25.05,35.04,-20.19,-0.26,128.63,1.35,71.54,0.79,,
668366374.5,00016M14:00:29.818,0016 13:28:06,118.23,25.06,35.04,-20.21,-0.26,128.63,1.33,71.54,0.80,,
668366375,00016M14:00:30.304,0016 13:28:06,118.22,25.06,35.05,-20.22,-0.26,128.63,1.32,71.54,0.80,,
668366375.5,00016M14:00:30.791,0016 13:28:07,118.22,25.06,35.05,-20.24,-0.26,128.63,1.30,71.55,0.80,,
668366376,00016M14:00:31.278,0016 13:28:07,118.22,25.06,35.06,-20.26,-0.26,128.63,1.29,71.55,0.80,,
668366376.5,00016M14:00:31.764,0016 13:28:08,118.22,25.06,35.06,-20.27,-0.26,128.63,1.27,71.55,0.80,,
668366377,00016M14:00:32.251,0016 13:28:08,118.21,25.06,35.07,-20.29,-0.26,128.63,1.26,71.56,0.81,,
668366377.5,00016M14:00:32.737,0016 13:28:09,118.21,25.07,35.08,-20.31,-0.26,128.63,1.24,71.56,0.81,,
668366378,00016M14:00:33.224,0016 13:28:09,118.21,25.07,35.08,-20.32,-0.26,128.63,1.23,71.56,0.81,,
668366378.5,00016M14:00:33.711,0016 13:28:10,118.20,25.07,35.09,-20.34,-0.26,128.63,1.21,71.56,0.81,,
668366379,00016M14:00:34.197,0016 13:28:10,118.20,25.07,35.09,-20.36,-0.26,128.63,1.19,71.57,0.81,,
668366379.5,00016M14:00:34.684,0016 13:28:11,118.20,25.07,35.10,-20.38,-0.26,128.63,1.18,71.57,0.82,,
668366380,00016M14:00:35.171,0016 13:28:11,118.20,25.07,35.10,-20.39,-0.26,128.63,1.16,71.57,0.82,,
668366380.5,00016M14:00:35.657,0016 13:28:12,118.19,25.08,35.11,-20.41,-0.26,128.63,1.15,71.58,0.82,,
668366381,00016M14:00:36.144,0016 13:28:12,118.19,25.08,35.12,-20.43,-0.26,128.63,1.13,71.58,0.82,,
668366381.5,00016M14:00:36.630,0016 13:28:12,118.19,25.08,35.12,-20.44,-0.26,128.63,1.12,71.58,0.82,,
668366382,00016M14:00:37.117,0016 13:28:13,118.19,25.08,35.13,-20.46,-0.26,128.63,1.10,71.58,0.83,,
668366382.5,00016M14:00:37.604,0016 13:28:13,118.18,25.08,35.13,-20.48,-0.26,128.63,1.09,71.59,0.83,,
668366383,00016M14:00:38.090,0016 13:28:14,118.18,25.09,35.14,-20.49,-0.26,128.63,1.07,71.59,0.83,,
668366383.5,00016M14:00:38.577,0016 13:28:14,118.18,25.09,35.14,-20.51,-0.26,128.63,1.05,71.59,0.83,,
668366384,00016M14:00:39.064,0016 13:28:15,118.18,25.09,35.15,-20.53,-0.26,128.63,1.04,71.59,0.83,,
668366384.5,00016M14:00:39.550,0016 13:28:15,118.17,25.09,35.15,-20.53,-0.26,0.00,1.04,71.59,0.83,,
668366385,00016M14:00:40.037,0016 13:28:16,118.17,25.09,35.15,-20.53,-0.26,0.00,1.04,71.59,0.83,,
668366385.5,00016M14:00:40.523,0016 13:28:16,118.17,25.09,35.15,-20.53,-0.26,0.00,1.04,71.59,0.83,,
668366386,00016M14:00:41.010,0016 13:28:17,118.17,25.10,35.15,-20.53,-0.26,0.00,1.04,71.59,0.83,,
668366386.5,00016M14:00:41.497,0016 13:28:17,118.16,25.10,35.15,-20.53,-0.26,0.00,1.04,71.59,0.83,,
668366387,00016M14:00:41.983,0016 13:28:18,118.16,25.10,35.15,-20.53,-0.26,0.00,1.04,71.59,0.83,,
668366387.5,00016M14:00:42.470,0016 13:28:18,118.16,25.10,35.15,-20.53,-0.26,0.00,1.03,71.80,0.84,,
668366388,00016M14:00:42.957,0016 13:28:19,118.16,25.10,35.15,-20.53,-0.26,0.00,1.03,72.01,0.85,,
668366388.5,00016M14:00:43.443,0016 13:28:19,118.15,25.10,35.15,-20.53,-0.26,0.00,1.03,72.22,0.86,,
668366389,00016M14:00:43.930,0016 13:28:20,118.15,25.11,35.15,-20.53,-0.26,0.00,1.02,72.43,0.87,,
668366389.5,00016M14:00:44.416,0016 13:28:20,118.15,25.11,35.15,-20.53,-0.26,0.00,1.02,72.64,0.88,,
668366390,00016M14:00:44.903,0016 13:28:21,118.15,25.11,35.15,-20.53,-0.26,0.00,1.01,72.85,0.88,,
668366390.5,00016M14:00:45.390,0016 13:28:21,118.14,25.11,35.15,-20.53,-0.26,0.00,1.01,73.06,0.89,,
668366391,00016M14:00:45.876,0016 13:28:22,118.14,25.11,35.15,-20.53,-0.26,0.00,1.00,73.27,0.90,,
668366391.5,00016M14:00:46.363,0016 13:28:22,118.14,25.11,35.15,-20.53,-0.26,0.00,1.00,73.48,0.91,,
668366392,00016M14:00:46.850,0016 13:28:23,118.13,25.12,35.15,-20.53,-0.26,0.00,1.00,73.69,0.92,,
668366392.5,00016M14:00:47.336,0016 13:28:23,118.13,25.12,35.15,-20.53,-0.26,0.00,0.99,73.89,0.92,,
668366393,00016M14:00:47.823,0016 13:28:24,118.13,25.12,35.15,-20.53,-0.26,0.00,0.99,74.10,0.93,,
668366393.5,00016M14:00:48.309,0016 13:28:24,118.13,25.12,35.15,-20.53,-0.26,0.00,0.98,74.31,0.94,,
668366394,00016M14:00:48.796,0016 13:28:25,118.12,25.12,35.15,-20.53,-0.26,0.00,0.98,74.52,0.95,,
668366394.5,00016M14:00:49.283,0016 13:28:25,118.12,25.12,35.15,-20.53,-0.26,0.00,0.97,74.73,0.96,,
668366395,00016M14:00:49.769,0016 13:28:26,118.12,25.13,35.15,-20.53,-0.26,0.00,0.97,74.94,0.97,,
668366395.5,00016M14:00:50.256,0016 13:28:26,118.12,25.13,35.15,-20.53,-0.26,0.00,0.96,75.15,0.97,,
668366396,00016M14:00:50.743,0016 13:28:27,118.11,25.13,35.15,-20.53,-0.26,0.00,0.96,75.36,0.98,,
668366396.5,00016M14:00:51.229,0016 13:28:27,118.11,25.13,35.15,-20.53,-0.26,0.00,0.95,75.57,0.99,,
668366397,00016M14:00:51.716,0016 13:28:28,118.11,25.13,35.15,-20.53,-0.26,0.00,0.95,75.78,1.00,,
668366397.5,00016M14:00:52.202,0016 13:28:28,118.11,25.13,35.15,-20.53,-0.26,0.00,0.94,75.98,1.01,,
668366398,00016M14:00:52.689,0016 13:28:29,118.10,25.14,35.15,-20.53,-0.26,0.00,0.94,76.19,1.01,,
668366398.5,00016M14:00:53.176,0016 13:28:29,118.10,25.14,35.15,-20.53,-0.26,0.00,0.94,76.40,1.02,,
668366399,00016M14:00:53.662,0016 13:28:30,118.10,25.14,35.15,-20.53,-0.26,0.00,0.93,76.61,1.03,,
